,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
0,4kRDWcWcBlkcQNoWyWSkTg,0.498,0.949,11,-4.367,0,0.0575,0.000324,0.0232,0.0783,0.517,95.027,audio_features,4kRDWcWcBlkcQNoWyWSkTg,spotify:track:4kRDWcWcBlkcQNoWyWSkTg,https://api.spotify.com/v1/tracks/4kRDWcWcBlkcQNoWyWSkTg,https://api.spotify.com/v1/audio-analysis/4kRDWcWcBlkcQNoWyWSkTg,180691,3,The Shift
1,4cbmDY9GDPhipvX4kY9pRg,0.484,0.807,11,-5.386,1,0.0566,0.00299,1.19e-05,0.107,0.253,120.223,audio_features,4cbmDY9GDPhipvX4kY9pRg,spotify:track:4cbmDY9GDPhipvX4kY9pRg,https://api.spotify.com/v1/tracks/4cbmDY9GDPhipvX4kY9pRg,https://api.spotify.com/v1/audio-analysis/4cbmDY9GDPhipvX4kY9pRg,180592,4,The Unknown
2,0eRQJmhphu5V6E5yKYpGRZ,0.295,0.911,4,-3.646,1,0.0961,3.21e-05,0.00809,0.203,0.456,79.115,audio_features,0eRQJmhphu5V6E5yKYpGRZ,spotify:track:0eRQJmhphu5V6E5yKYpGRZ,https://api.spotify.com/v1/tracks/0eRQJmhphu5V6E5yKYpGRZ,https://api.spotify.com/v1/audio-analysis/0eRQJmhphu5V6E5yKYpGRZ,218934,4,Waiting
3,1qLhuyPkRwZzfJOkx6APMx,0.492,0.935,7,-5.436,1,0.0895,0.000275,0.0227,0.0896,0.603,172.01,audio_features,1qLhuyPkRwZzfJOkx6APMx,spotify:track:1qLhuyPkRwZzfJOkx6APMx,https://api.spotify.com/v1/tracks/1qLhuyPkRwZzfJOkx6APMx,https://api.spotify.com/v1/audio-analysis/1qLhuyPkRwZzfJOkx6APMx,159713,4,Deja Vu
4,67vEv74qFSiiCnYCX7HU4j,0.416,0.879,2,-4.892,1,0.0436,6.79e-05,0.00473,0.123,0.401,154.927,audio_features,67vEv74qFSiiCnYCX7HU4j,spotify:track:67vEv74qFSiiCnYCX7HU4j,https://api.spotify.com/v1/tracks/67vEv74qFSiiCnYCX7HU4j,https://api.spotify.com/v1/audio-analysis/67vEv74qFSiiCnYCX7HU4j,210341,4,Without You
5,3j3CP2p7mzdVdd2tElQKKB,0.38,0.945,7,-4.488,1,0.217,0.000114,0.0143,0.164,0.626,179.922,audio_features,3j3CP2p7mzdVdd2tElQKKB,spotify:track:3j3CP2p7mzdVdd2tElQKKB,https://api.spotify.com/v1/tracks/3j3CP2p7mzdVdd2tElQKKB,https://api.spotify.com/v1/audio-analysis/3j3CP2p7mzdVdd2tElQKKB,168946,4,Cut The Cord
6,6Yfttm4OQ7V7ZZ8d0sGVtb,0.6,0.412,11,-8.415,0,0.0309,0.84,0.925,0.109,0.143,129.977,audio_features,6Yfttm4OQ7V7ZZ8d0sGVtb,spotify:track:6Yfttm4OQ7V7ZZ8d0sGVtb,https://api.spotify.com/v1/tracks/6Yfttm4OQ7V7ZZ8d0sGVtb,https://api.spotify.com/v1/audio-analysis/6Yfttm4OQ7V7ZZ8d0sGVtb,145684,3,Planets III
7,1FfJ5RHpR1lMtrE5ipnUnw,0.491,0.953,11,-4.559,0,0.093,1.93e-05,0.000406,0.103,0.299,130.112,audio_features,1FfJ5RHpR1lMtrE5ipnUnw,spotify:track:1FfJ5RHpR1lMtrE5ipnUnw,https://api.spotify.com/v1/tracks/1FfJ5RHpR1lMtrE5ipnUnw,https://api.spotify.com/v1/audio-analysis/1FfJ5RHpR1lMtrE5ipnUnw,188805,3,Sleep In The Fire
8,2J7vF94Uex6373uXtVu8D8,0.27,0.942,4,-4.544,1,0.0553,4.41e-05,0.0234,0.121,0.361,84.155,audio_features,2J7vF94Uex6373uXtVu8D8,spotify:track:2J7vF94Uex6373uXtVu8D8,https://api.spotify.com/v1/tracks/2J7vF94Uex6373uXtVu8D8,https://api.spotify.com/v1/audio-analysis/2J7vF94Uex6373uXtVu8D8,211145,4,I Wish
9,4YOwc5IghPmUSoTMT4Jppq,0.451,0.915,7,-4.305,1,0.0481,1.27e-05,4.97e-05,0.233,0.467,94.038,audio_features,4YOwc5IghPmUSoTMT4Jppq,spotify:track:4YOwc5IghPmUSoTMT4Jppq,https://api.spotify.com/v1/tracks/4YOwc5IghPmUSoTMT4Jppq,https://api.spotify.com/v1/audio-analysis/4YOwc5IghPmUSoTMT4Jppq,178281,4,Start Again
10,4T2LghEOiqIqpz3EMT3zoq,0.475,0.423,6,-12.449,0,0.0383,0.825,0.958,0.111,0.122,140.021,audio_features,4T2LghEOiqIqpz3EMT3zoq,spotify:track:4T2LghEOiqIqpz3EMT3zoq,https://api.spotify.com/v1/tracks/4T2LghEOiqIqpz3EMT3zoq,https://api.spotify.com/v1/audio-analysis/4T2LghEOiqIqpz3EMT3zoq,116818,5,Planets IV
11,7zsXhFt6TRHmI8xw2EKhBV,0.379,0.837,4,-4.32,1,0.0407,0.00194,4.17e-05,0.125,0.504,85.02,audio_features,7zsXhFt6TRHmI8xw2EKhBV,spotify:track:7zsXhFt6TRHmI8xw2EKhBV,https://api.spotify.com/v1/tracks/7zsXhFt6TRHmI8xw2EKhBV,https://api.spotify.com/v1/audio-analysis/7zsXhFt6TRHmI8xw2EKhBV,249706,4,Say Goodbye
12,6oIVVDSATu0OTzV6eobF6p,0.491,0.941,1,-3.234,1,0.0475,7.3e-05,0.0127,0.313,0.361,103.187,audio_features,6oIVVDSATu0OTzV6eobF6p,spotify:track:6oIVVDSATu0OTzV6eobF6p,https://api.spotify.com/v1/tracks/6oIVVDSATu0OTzV6eobF6p,https://api.spotify.com/v1/audio-analysis/6oIVVDSATu0OTzV6eobF6p,211280,4,The Messenger
13,7dXhFhkQIkuPLqdGSkSOX0,0.444,0.866,11,-2.437,1,0.0465,0.000106,1.39e-05,0.0366,0.74,188.035,audio_features,7dXhFhkQIkuPLqdGSkSOX0,spotify:track:7dXhFhkQIkuPLqdGSkSOX0,https://api.spotify.com/v1/tracks/7dXhFhkQIkuPLqdGSkSOX0,https://api.spotify.com/v1/audio-analysis/7dXhFhkQIkuPLqdGSkSOX0,169520,4,Novacaine
14,0PO4WVdLPjM09EHcSsE2F2,0.387,0.924,1,-2.502,1,0.0675,4.13e-05,0.105,0.31,0.63,177.97,audio_features,0PO4WVdLPjM09EHcSsE2F2,spotify:track:0PO4WVdLPjM09EHcSsE2F2,https://api.spotify.com/v1/tracks/0PO4WVdLPjM09EHcSsE2F2,https://api.spotify.com/v1/audio-analysis/0PO4WVdLPjM09EHcSsE2F2,214133,4,Burnout
15,7DeawS7buLWHcP0g6bvJXH,0.45,0.906,1,-2.728,0,0.0395,0.00149,0,0.0739,0.236,147.927,audio_features,7DeawS7buLWHcP0g6bvJXH,spotify:track:7DeawS7buLWHcP0g6bvJXH,https://api.spotify.com/v1/tracks/7DeawS7buLWHcP0g6bvJXH,https://api.spotify.com/v1/audio-analysis/7DeawS7buLWHcP0g6bvJXH,214413,4,Catacombs
16,6MMv4LfevVLQAIztzYgiU4,0.522,0.947,6,-3.087,1,0.0554,0.00021,9.3e-05,0.317,0.564,130.035,audio_features,6MMv4LfevVLQAIztzYgiU4,spotify:track:6MMv4LfevVLQAIztzYgiU4,https://api.spotify.com/v1/tracks/6MMv4LfevVLQAIztzYgiU4,https://api.spotify.com/v1/audio-analysis/6MMv4LfevVLQAIztzYgiU4,247987,4,Ghosts
17,7koMDKjO0fNZO33rvsqnxB,0.454,0.921,1,-3.0,1,0.0363,0.00101,0.00128,0.121,0.2,140.057,audio_features,7koMDKjO0fNZO33rvsqnxB,spotify:track:7koMDKjO0fNZO33rvsqnxB,https://api.spotify.com/v1/tracks/7koMDKjO0fNZO33rvsqnxB,https://api.spotify.com/v1/audio-analysis/7koMDKjO0fNZO33rvsqnxB,190853,4,Blood Red Sky
18,7cgRAvXcPpFdE8gf71xU67,0.512,0.883,6,-2.891,1,0.0357,0.000278,1.55e-05,0.102,0.568,94.026,audio_features,7cgRAvXcPpFdE8gf71xU67,spotify:track:7cgRAvXcPpFdE8gf71xU67,https://api.spotify.com/v1/tracks/7cgRAvXcPpFdE8gf71xU67,https://api.spotify.com/v1/audio-analysis/7cgRAvXcPpFdE8gf71xU67,254507,4,Phantoms
