,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
0,5CEcyUU5EPTJKhPhXEhb9M,0.492,0.808,3,-15.556,0,0.484,0.0351,0,0.354,0.231,96.089,audio_features,5CEcyUU5EPTJKhPhXEhb9M,spotify:track:5CEcyUU5EPTJKhPhXEhb9M,https://api.spotify.com/v1/tracks/5CEcyUU5EPTJKhPhXEhb9M,https://api.spotify.com/v1/audio-analysis/5CEcyUU5EPTJKhPhXEhb9M,31000,4,Ignite Intro
1,1RNxe53QSJWW5ubNZWjGzt,0.525,0.86,6,-5.848,1,0.35,0.00489,0,0.782,0.621,199.534,audio_features,1RNxe53QSJWW5ubNZWjGzt,spotify:track:1RNxe53QSJWW5ubNZWjGzt,https://api.spotify.com/v1/tracks/1RNxe53QSJWW5ubNZWjGzt,https://api.spotify.com/v1/audio-analysis/1RNxe53QSJWW5ubNZWjGzt,185000,4,I'm on Fire
2,229Fn6yizdo9p3sqjcGTt3,0.617,0.854,3,-5.167,0,0.0643,0.00334,7.79e-05,0.718,0.291,95.026,audio_features,229Fn6yizdo9p3sqjcGTt3,spotify:track:229Fn6yizdo9p3sqjcGTt3,https://api.spotify.com/v1/tracks/229Fn6yizdo9p3sqjcGTt3,https://api.spotify.com/v1/audio-analysis/229Fn6yizdo9p3sqjcGTt3,169000,4,Route 132
3,0qxWZVHPGCFa7hID1vbXcA,0.507,0.943,8,-3.381,1,0.148,0.0704,0,0.346,0.585,183.889,audio_features,0qxWZVHPGCFa7hID1vbXcA,spotify:track:0qxWZVHPGCFa7hID1vbXcA,https://api.spotify.com/v1/tracks/0qxWZVHPGCFa7hID1vbXcA,https://api.spotify.com/v1/audio-analysis/0qxWZVHPGCFa7hID1vbXcA,196000,4,Live the Madness
4,7fU0cM4i4apLoAHtQTthyC,0.815,0.754,7,-5.716,1,0.0993,0.0385,0,0.192,0.514,97.018,audio_features,7fU0cM4i4apLoAHtQTthyC,spotify:track:7fU0cM4i4apLoAHtQTthyC,https://api.spotify.com/v1/tracks/7fU0cM4i4apLoAHtQTthyC,https://api.spotify.com/v1/audio-analysis/7fU0cM4i4apLoAHtQTthyC,175000,4,Gambler with a Gun
5,3JhtVJbEq81Slz0c78HjJz,0.59,0.492,11,-7.508,1,0.259,0.0858,0.00065,0.117,0.67,81.639,audio_features,3JhtVJbEq81Slz0c78HjJz,spotify:track:3JhtVJbEq81Slz0c78HjJz,https://api.spotify.com/v1/tracks/3JhtVJbEq81Slz0c78HjJz,https://api.spotify.com/v1/audio-analysis/3JhtVJbEq81Slz0c78HjJz,230000,4,Geronimo
6,4AY7oksaYvlx0AkAhwpMI9,0.446,0.72,11,-6.393,1,0.0288,0.0126,0.0107,0.107,0.254,75.936,audio_features,4AY7oksaYvlx0AkAhwpMI9,spotify:track:4AY7oksaYvlx0AkAhwpMI9,https://api.spotify.com/v1/tracks/4AY7oksaYvlx0AkAhwpMI9,https://api.spotify.com/v1/audio-analysis/4AY7oksaYvlx0AkAhwpMI9,249000,4,Lucille
7,0H8FetU5DifKP3jeYVaDJS,0.29,0.689,1,-6.778,0,0.0475,0.147,0,0.115,0.257,86.348,audio_features,0H8FetU5DifKP3jeYVaDJS,spotify:track:0H8FetU5DifKP3jeYVaDJS,https://api.spotify.com/v1/tracks/0H8FetU5DifKP3jeYVaDJS,https://api.spotify.com/v1/audio-analysis/0H8FetU5DifKP3jeYVaDJS,178000,4,Rose
8,08v8MLx1KFmD0gwxAVZHER,0.775,0.723,7,-4.718,1,0.113,0.0273,0,0.145,0.705,109.993,audio_features,08v8MLx1KFmD0gwxAVZHER,spotify:track:08v8MLx1KFmD0gwxAVZHER,https://api.spotify.com/v1/tracks/08v8MLx1KFmD0gwxAVZHER,https://api.spotify.com/v1/audio-analysis/08v8MLx1KFmD0gwxAVZHER,164000,4,Roadhouse Riot
9,6TdRQGCoRvMKhQnTsuceKO,0.79,0.657,9,-4.746,1,0.0413,0.187,0,0.225,0.0702,105.011,audio_features,6TdRQGCoRvMKhQnTsuceKO,spotify:track:6TdRQGCoRvMKhQnTsuceKO,https://api.spotify.com/v1/tracks/6TdRQGCoRvMKhQnTsuceKO,https://api.spotify.com/v1/audio-analysis/6TdRQGCoRvMKhQnTsuceKO,202000,4,Whatchya Got
10,2yir3yNzU9d4awgXpuRU6y,0.753,0.908,2,-5.277,1,0.135,0.000348,1.15e-05,0.0761,0.738,133.04,audio_features,2yir3yNzU9d4awgXpuRU6y,spotify:track:2yir3yNzU9d4awgXpuRU6y,https://api.spotify.com/v1/tracks/2yir3yNzU9d4awgXpuRU6y,https://api.spotify.com/v1/audio-analysis/2yir3yNzU9d4awgXpuRU6y,209000,4,Shot of Liberty
11,6csDpdNhk1TUqqgBeBFwnb,0.733,0.841,7,-4.946,1,0.0696,0.132,0,0.103,0.298,106.973,audio_features,6csDpdNhk1TUqqgBeBFwnb,spotify:track:6csDpdNhk1TUqqgBeBFwnb,https://api.spotify.com/v1/tracks/6csDpdNhk1TUqqgBeBFwnb,https://api.spotify.com/v1/audio-analysis/6csDpdNhk1TUqqgBeBFwnb,155000,4,"Red, White & Boozed"
12,2rOTcBXahPvzR0jZpes1AE,0.717,0.691,11,-4.19,0,0.0522,0.0104,0.00151,0.195,0.342,99.957,audio_features,2rOTcBXahPvzR0jZpes1AE,spotify:track:2rOTcBXahPvzR0jZpes1AE,https://api.spotify.com/v1/tracks/2rOTcBXahPvzR0jZpes1AE,https://api.spotify.com/v1/audio-analysis/2rOTcBXahPvzR0jZpes1AE,147000,4,Snakes
13,7D0Xg9kOK0S0wMl8A40B8O,0.796,0.662,2,-5.527,1,0.0722,0.0169,0.00897,0.166,0.463,91.017,audio_features,7D0Xg9kOK0S0wMl8A40B8O,spotify:track:7D0Xg9kOK0S0wMl8A40B8O,https://api.spotify.com/v1/tracks/7D0Xg9kOK0S0wMl8A40B8O,https://api.spotify.com/v1/audio-analysis/7D0Xg9kOK0S0wMl8A40B8O,187000,4,Still Drinkin'
14,79uCWXvuBEpoXv2UupqbCK,0.802,0.615,2,-6.207,1,0.0445,0.00179,0.00285,0.151,0.41,103.029,audio_features,79uCWXvuBEpoXv2UupqbCK,spotify:track:79uCWXvuBEpoXv2UupqbCK,https://api.spotify.com/v1/tracks/79uCWXvuBEpoXv2UupqbCK,https://api.spotify.com/v1/audio-analysis/79uCWXvuBEpoXv2UupqbCK,173094,4,Do It Again
15,1r8TM6e3V6FNYWA1MZDRv9,0.715,0.834,4,-4.444,0,0.0573,0.0699,0,0.116,0.296,98.938,audio_features,1r8TM6e3V6FNYWA1MZDRv9,spotify:track:1r8TM6e3V6FNYWA1MZDRv9,https://api.spotify.com/v1/tracks/1r8TM6e3V6FNYWA1MZDRv9,https://api.spotify.com/v1/audio-analysis/1r8TM6e3V6FNYWA1MZDRv9,199749,4,When the Barrel Blows
16,5iXtzJudOytbc9p60bAq5n,0.665,0.755,11,-5.486,0,0.0839,0.0304,0,0.185,0.425,88.002,audio_features,5iXtzJudOytbc9p60bAq5n,spotify:track:5iXtzJudOytbc9p60bAq5n,https://api.spotify.com/v1/tracks/5iXtzJudOytbc9p60bAq5n,https://api.spotify.com/v1/audio-analysis/5iXtzJudOytbc9p60bAq5n,244219,4,Outlaws Never Die
17,5JfuoEU6ySLzvNE2Muh5ac,0.785,0.704,3,-6.177,0,0.07,0.0555,0,0.156,0.732,99.992,audio_features,5JfuoEU6ySLzvNE2Muh5ac,spotify:track:5JfuoEU6ySLzvNE2Muh5ac,https://api.spotify.com/v1/tracks/5JfuoEU6ySLzvNE2Muh5ac,https://api.spotify.com/v1/audio-analysis/5JfuoEU6ySLzvNE2Muh5ac,186094,4,Rebel Rebel
18,3u0tKv1NuA0PC7r8v1sZAi,0.82,0.758,10,-5.826,1,0.0345,0.138,1.55e-05,0.0611,0.782,124.023,audio_features,3u0tKv1NuA0PC7r8v1sZAi,spotify:track:3u0tKv1NuA0PC7r8v1sZAi,https://api.spotify.com/v1/tracks/3u0tKv1NuA0PC7r8v1sZAi,https://api.spotify.com/v1/audio-analysis/3u0tKv1NuA0PC7r8v1sZAi,171133,4,Keep on Moving
19,5R5q6mip0vehR93Qqu62fP,0.827,0.902,9,-5.901,0,0.0626,0.218,0,0.0557,0.972,116.015,audio_features,5R5q6mip0vehR93Qqu62fP,spotify:track:5R5q6mip0vehR93Qqu62fP,https://api.spotify.com/v1/tracks/5R5q6mip0vehR93Qqu62fP,https://api.spotify.com/v1/audio-analysis/5R5q6mip0vehR93Qqu62fP,192144,4,Take Her to the Country 2019
20,1pKqEUV4arDoiA5jzQAvAA,0.614,0.821,4,-5.914,0,0.0401,0.00565,2.72e-06,0.0992,0.472,95.009,audio_features,1pKqEUV4arDoiA5jzQAvAA,spotify:track:1pKqEUV4arDoiA5jzQAvAA,https://api.spotify.com/v1/tracks/1pKqEUV4arDoiA5jzQAvAA,https://api.spotify.com/v1/audio-analysis/1pKqEUV4arDoiA5jzQAvAA,243000,4,Burning Bridges
